#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B27282
#Date Time: 2022-12-20 12:59:19.006
#Start: 8.15 Hz
#Stop: 1.42e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.47958 V
#Offset: 1.98689e-05 V
#Relative: no
#Channel: Channel 2
#Range: 59.7562 V
#Offset: 7.94977 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
8.15,0.007617975704902809,0.5726651783971204,-87.82219577559212
8.832801697006094,0.007391144499580032,1.287966689728249,-88.70196770730874
9.572808075905979,0.007043589135646034,2.000610196347034,-89.60193060724703
10.37481170772711,0.007254849673078135,2.706218720543532,-90.49125899978719
11.24400668197923,0.007248529536035913,3.408967265630331,-91.38462926668537
12.18602224561153,0.007318348915218233,4.107919508054391,-92.28749746152918
13.20695926021982,0.007435953456062638,4.80464536398204,-93.20835310147345
14.31342971361472,0.007341223210395562,5.495854774552114,-94.1438743159903
15.51259954164337,0.00725338394620783,6.183535753702365,-95.11533942404969
16.81223503759556,0.007174126724664949,6.86862908499013,-96.11421171514324
18.22075314975939,0.007051921568710052,7.547831413592331,-97.147943323162
19.74727599287413,0.00708015646700025,8.222646093264572,-98.2234944957635
21.40168992651607,0.007000693135069656,8.891583029466744,-99.34305761675643
23.19470958303432,0.007054079156219412,9.554848140205731,-100.5163146435921
25.13794725970418,0.007107998568792176,10.21015108752954,-101.746435082622
27.24398812451101,0.007444807150096053,10.8566556625104,-103.037187498173
29.52647172262511,0.007175979453863693,11.49486569663008,-104.3964411674379
32.00018031143626,0.00738445004184173,12.12117627645418,-105.8284475090476
34.68113459623989,0.007118881706495911,12.73476439336565,-107.3346410713585
37.58669748659687,0.00729898180755243,13.3334468908515,-108.9218408855587
40.73568654533343,0.007250181287941138,13.91553760127586,-110.5869733780139
44.14849585844533,0.007379636151830055,14.4753505826494,-112.3361393787339
47.84722811518311,0.007202421467820025,15.00772890781219,-114.1673159812343
51.8558377537211,0.007108841376871424,15.48325019516038,-116.021340832119
56.20028609947735,0.007067562367479423,15.82127066081733,-117.7785668592775
60.90870950082103,0.00701024492460621,16.08393921854275,-119.5810844430307
66.01160155108015,0.007191696438829902,16.28725084169616,-121.4245192995958
71.54201057699026,0.007247050714855327,16.4464035297155,-123.3012040573391
77.53575367259724,0.007318083973453538,16.57233338892827,-125.192871436256
84.03164866478077,0.007191933519491786,16.67338866995787,-127.0876834889058
91.07176551269882,0.006881594985528403,16.75542977757589,-128.9871908390179
98.70169876931375,0.00698240147482505,16.82181967012888,-130.8758978060015
106.9708628695682,0.006601209652696821,16.87624448517334,-132.7432214983211
115.9328121576105,0.006551180357320659,16.92075581976179,-134.5824545201236
125.6455877256973,0.006804125572440128,16.95568948120442,-136.3963206383306
136.1720933110266,0.00675329495278269,16.98342283068006,-138.1683546704642
147.5805026849701,0.006845241359261724,17.00426170028076,-139.9121164939149
159.9447011731065,0.006826567921083882,17.01989867012042,-141.6118424541856
173.344764165515,0.006832853386368637,17.0297722249998,-143.2708269048462
187.8674757163536,0.006863277572541729,17.03441609599998,-144.8874758878621
203.606890591369,0.007046105843359355,17.03557855816698,-146.4577564695252
220.664943403384,0.00681662807490793,17.03279133124375,-147.9844774320928
239.1521087807563,0.006640375012840409,17.02588276153017,-149.4685693714464
259.1881168443251,0.006735510215624838,17.01537687946549,-150.9096647979934
280.9027286265483,0.006583173801940852,17.00235078121722,-152.3065459248849
304.4365764547509,0.006388105317851387,16.98615357365679,-153.6600295739335
329.9420747411345,0.006422531166362871,16.96768655960269,-154.9682651819204
357.584407078185,0.006624663018424066,16.94746173038608,-156.2300022696402
387.5425960322834,0.006292796074776121,16.92493045704467,-157.4562181401059
420.0106625639386,0.006452627975466183,16.90065512625755,-158.6317000957816
455.1988825834854,0.006831788642336693,16.87587567791394,-159.7691681260363
493.335148780208,0.006744238210666666,16.84942270566634,-160.8673527044426
534.6664465446098,0.006420376622303192,16.82246437345314,-161.9291070883573
579.4604535425083,0.00678288577046608,16.79597028041521,-162.9447239542883
628.0072733003917,0.006844864239532803,16.76968215003017,-163.9232217364507
680.6213140294318,0.006929272565446147,16.74401113834672,-164.859119616998
737.6433248561573,0.006833219858018148,16.71838758146916,-165.7730409315274
799.4426026472003,0.006710808029276572,16.69346616294051,-166.6511594681737
866.4193837203885,0.006685846785855981,16.67037932214108,-167.4952218666316
939.0074359318296,0.006761855735570848,16.648771535647,-168.2955387848678
1017.676867926382,0.006815830088207016,16.62887953669738,-169.0565876974553
1102.937173745275,0.007312679887397113,16.61103188468017,-169.7826383294128
